Localities,Population Size,Population Density,Factory,Supermarket,Public Market,Street Market,Grocery/Corner shop,Bank,Drugstore,Hospital,ICU,Health Centre,Mobile Medical Service,Private Health Service,Distance to Town,Local Airport (<10 km),Medium Airport (<20 km),Large Airport (< 30 km),Public transportation,Private transportantion,Paved roads,Treated Water,Sewage Treatment,Waste Collection,Power grid,Internet Service,High-Speed Internet,Mobile Service,Postal Service,Recreation Facilities,Gastronomy Facilities,Sports Facilities,Religious Centres,Security Infrastructure,Elementary School,Secondary School,University
Salvador-BA,2900000,4704.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aracaju-SE,657000,2307.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Maceio-AL,957916,1729.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Natal-RN,896708,4829.47,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
São Luís-MA,1037775,1183.4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Teresina-PI,868075,1337.56,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Milagres-CE,13556,3595.2,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
João Pessoa-PB,833932,3400.82,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Recife-PE,1488920,6816.3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ipaporanga-CE,4136,777.443609,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
Cratéus-CE,52644,3188.612962,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Juazeiro do Norte-CE,249939,7190.42,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Crato-CE,100916,3223.123603,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ararendá-CE,4906,892.0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Aiuaba-CE,3951,485.9778598,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Jardim-CE,8994,902.106319,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
Fortaleza-CE,2452185,7786.52,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Taua-CE,55716,3660.709593,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Poranga-CE,7798,1438.745387,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
Mulungu-CE,4198,4418.947368,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
Palmacia-CE,4957,3965.6,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
Caucaia-CE,325441,7223.99556,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Água Branca (Ipaporanga-CE),359,1049.86,0,0,0,0,1,1,0,0,0,1,1,0,14,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0
Sítio Araras (Ipaporanga-CE),365,520.88,0,0,0,0,1,1,0,0,0,1,1,0,30,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0
Buriti dos Brás (Ipaporanga-CE),136,771.51,0,0,0,0,1,0,0,0,0,0,0,0,26,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0
Palmeiras (Ipaporanga-CE),43,62.58,0,0,0,0,1,0,0,0,0,0,0,0,28,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Cachoeria (Ipaporanga-CE),19,72.98,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Teotonio (Ipaporanga-CE),12,27.52,0,0,0,0,1,0,0,0,0,0,0,0,45,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Guaramiranga-CE,2495,831.66,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
Aratuba-CE,3769,5384.0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
Sobral-CE,166310,2329.98,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Horizonte (Jardim-CE),2800,493.83,1,0,0,0,1,0,0,0,0,1,1,0,20,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0
Santo André-PB,2622,13.26,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Sítio Cutia (Ferreiros-PE),180,56.96,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
Barra de Mamanguape (Rio Tinto - PB),1438,33.44,0,0,0,0,1,0,0,0,0,1,0,0,26,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0
Framataia (Marcação - PB),300,483.89,0,0,0,0,1,0,0,0,0,1,1,0,8,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
Lagoa do Junco (Santana do Ipanema - AL),512,1347.37,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0
Kiriri do Rio Verde (Caldas-MG),80,181.81,0,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0
Kiriri de Muquém (Muquém do São Francisco - BA),100,69.93,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0
Serra Grande (Lagoa do Ouro - PE),328,117.56,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0
Quilombo do Fonseca (Manaíra - PB),652,672.16,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Betânia - PI,6210,10.74,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
Quilombo Baixão (Betânia - PI),76,115.15,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Quincuncá (Farias Brito - CE),978,584.81,0,0,0,0,1,1,1,0,0,1,1,0,11,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0
Chã das Mulatas (Buenos Aires - PE),320,296.29,0,0,0,0,1,0,0,0,0,0,1,1,10,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0
Ribeira (Cabaceiras - PB),180,562.5,0,1,0,0,1,0,1,0,0,1,0,0,15,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
Sítio da Boa Vista (Cabaceiras - PB),120,413.79,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0
Quilombo de São Sebtastião dos Pretos (Bacabal-MA),230,851.51,1,0,0,0,1,0,0,0,0,0,0,0,16,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0
Engenho Limeirinha (Nazaré da Mata - PE),88,236.27,0,0,0,0,1,0,0,0,0,1,1,0,14,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0
Raíz (Juscelino Kubitschek-MG),400,74.57,0,0,0,0,1,0,0,0,0,1,1,0,7,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0
Pé de Serra (Buenópolis-MG),600,153.84,0,0,0,0,1,0,0,0,0,1,1,0,46,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0
Santa Rita (Diamantina-MG),400,191.38,0,0,0,0,1,0,0,0,0,1,1,0,17,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
Mata dos Crioulos (Dimantina-MG),800,262.29,0,0,0,0,1,0,0,0,0,1,1,0,37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Corrente (Jardim-CE),500,694.44,0,0,0,1,1,0,0,0,0,1,0,1,18,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0
Tokyo,37732000,4584.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Delhi,32226000,13748.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Shanghai,24073000,5556.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
São Paulo,23086000,6327.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mexico City,21804000,8618.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cairo,20296000,10098.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mumbai,24973000,25587.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
